Datum,Feiertag,Ferientag
2019-04-04,0,1
2019-04-05,0,1
2019-04-06,0,1
2019-04-07,0,1
2019-04-08,0,1
2019-04-09,0,1
2019-04-10,0,1
2019-04-11,0,1
2019-04-12,0,1
2019-04-13,0,1
2019-04-14,0,1
2019-04-15,0,1
2019-04-16,0,1
2019-04-17,0,1
2019-04-18,0,1
2019-07-01,0,1
2019-07-02,0,1
2019-07-03,0,1
2019-07-04,0,1
2019-07-05,0,1
2019-07-06,0,1
2019-07-07,0,1
2019-07-08,0,1
2019-07-09,0,1
2019-07-10,0,1
2019-07-11,0,1
2019-07-12,0,1
2019-07-13,0,1
2019-07-14,0,1
2019-07-15,0,1
2019-07-16,0,1
2019-07-17,0,1
2019-07-18,0,1
2019-07-19,0,1
2019-07-20,0,1
2019-07-21,0,1
2019-07-22,0,1
2019-07-23,0,1
2019-07-24,0,1
2019-07-25,0,1
2019-07-26,0,1
2019-07-27,0,1
2019-07-28,0,1
2019-07-29,0,1
2019-07-30,0,1
2019-07-31,0,1
2019-08-01,0,1
2019-08-02,0,1
2019-08-03,0,1
2019-08-04,0,1
2019-08-05,0,1
2019-08-06,0,1
2019-08-07,0,1
2019-08-08,0,1
2019-08-09,0,1
2019-08-10,0,1
2019-10-04,0,1
2019-10-05,0,1
2019-10-06,0,1
2019-10-07,0,1
2019-10-08,0,1
2019-10-09,0,1
2019-10-10,0,1
2019-10-11,0,1
2019-10-12,0,1
2019-10-13,0,1
2019-10-14,0,1
2019-10-15,0,1
2019-10-16,0,1
2019-10-17,0,1
2019-10-18,0,1
2019-12-23,0,1
2019-12-24,0,1
2019-12-25,0,1
2019-12-26,0,1
2019-12-27,0,1
2019-12-28,0,1
2019-12-29,0,1
2019-12-30,0,1
2019-12-31,0,1
2020-01-01,0,1
2020-01-02,0,1
2020-01-03,0,1
2020-01-04,0,1
2020-01-05,0,1
2020-01-06,0,1
2020-03-30,0,1
2020-03-31,0,1
2020-04-01,0,1
2020-04-02,0,1
2020-04-03,0,1
2020-04-04,0,1
2020-04-05,0,1
2020-04-06,0,1
2020-04-07,0,1
2020-04-08,0,1
2020-04-09,0,1
2020-04-10,0,1
2020-04-11,0,1
2020-04-12,0,1
2020-04-13,0,1
2020-04-14,0,1
2020-04-15,0,1
2020-04-16,0,1
2020-04-17,0,1
2020-06-29,0,1
2020-06-30,0,1
2020-07-01,0,1
2020-07-02,0,1
2020-07-03,0,1
2020-07-04,0,1
2020-07-05,0,1
2020-07-06,0,1
2020-07-07,0,1
2020-07-08,0,1
2020-07-09,0,1
2020-07-10,0,1
2020-07-11,0,1
2020-07-12,0,1
2020-07-13,0,1
2020-07-14,0,1
2020-07-15,0,1
2020-07-16,0,1
2020-07-17,0,1
2020-07-18,0,1
2020-07-19,0,1
2020-07-20,0,1
2020-07-21,0,1
2020-07-22,0,1
2020-07-23,0,1
2020-07-24,0,1
2020-07-25,0,1
2020-07-26,0,1
2020-07-27,0,1
2020-07-28,0,1
2020-07-29,0,1
2020-07-30,0,1
2020-07-31,0,1
2020-08-01,0,1
2020-08-02,0,1
2020-08-03,0,1
2020-08-04,0,1
2020-08-05,0,1
2020-08-06,0,1
2020-08-07,0,1
2020-08-08,0,1
2020-10-05,0,1
2020-10-06,0,1
2020-10-07,0,1
2020-10-08,0,1
2020-10-09,0,1
2020-10-10,0,1
2020-10-11,0,1
2020-10-12,0,1
2020-10-13,0,1
2020-10-14,0,1
2020-10-15,0,1
2020-10-16,0,1
2020-10-17,0,1
2020-12-21,0,1
2020-12-22,0,1
2020-12-23,0,1
2020-12-24,0,1
2020-12-25,0,1
2020-12-26,0,1
2020-12-27,0,1
2020-12-28,0,1
2020-12-29,0,1
2020-12-30,0,1
2020-12-31,0,1
2021-01-01,0,1
2021-01-02,0,1
2021-01-03,0,1
2021-01-04,0,1
2021-01-05,0,1
2021-01-06,0,1
2021-04-01,0,1
2021-04-02,0,1
2021-04-03,0,1
2021-04-04,0,1
2021-04-05,0,1
2021-04-06,0,1
2021-04-07,0,1
2021-04-08,0,1
2021-04-09,0,1
2021-04-10,0,1
2021-04-11,0,1
2021-04-12,0,1
2021-04-13,0,1
2021-04-14,0,1
2021-04-15,0,1
2021-04-16,0,1
2021-06-21,0,1
2021-06-22,0,1
2021-06-23,0,1
2021-06-24,0,1
2021-06-25,0,1
2021-06-26,0,1
2021-06-27,0,1
2021-06-28,0,1
2021-06-29,0,1
2021-06-30,0,1
2021-07-01,0,1
2021-07-02,0,1
2021-07-03,0,1
2021-07-04,0,1
2021-07-05,0,1
2021-07-06,0,1
2021-07-07,0,1
2021-07-08,0,1
2021-07-09,0,1
2021-07-10,0,1
2021-07-11,0,1
2021-07-12,0,1
2021-07-13,0,1
2021-07-14,0,1
2021-07-15,0,1
2021-07-16,0,1
2021-07-17,0,1
2021-07-18,0,1
2021-07-19,0,1
2021-07-20,0,1
2021-07-21,0,1
2021-07-22,0,1
2021-07-23,0,1
2021-07-24,0,1
2021-07-25,0,1
2021-07-26,0,1
2021-07-27,0,1
2021-07-28,0,1
2021-07-29,0,1
2021-07-30,0,1
2021-07-31,0,1
2021-10-04,0,1
2021-10-05,0,1
2021-10-06,0,1
2021-10-07,0,1
2021-10-08,0,1
2021-10-09,0,1
2021-10-10,0,1
2021-10-11,0,1
2021-10-12,0,1
2021-10-13,0,1
2021-10-14,0,1
2021-10-15,0,1
2021-10-16,0,1
2021-12-23,0,1
2021-12-24,0,1
2021-12-25,0,1
2021-12-26,0,1
2021-12-27,0,1
2021-12-28,0,1
2021-12-29,0,1
2021-12-30,0,1
2021-12-31,0,1
2022-01-01,0,1
2022-01-02,0,1
2022-01-03,0,1
2022-01-04,0,1
2022-01-05,0,1
2022-01-06,0,1
2022-01-07,0,1
2022-01-08,0,1
2022-04-04,0,1
2022-04-05,0,1
2022-04-06,0,1
2022-04-07,0,1
2022-04-08,0,1
2022-04-09,0,1
2022-04-10,0,1
2022-04-11,0,1
2022-04-12,0,1
2022-04-13,0,1
2022-04-14,0,1
2022-04-15,0,1
2022-04-16,0,1
2022-07-04,0,1
2022-07-05,0,1
2022-07-06,0,1
2022-07-07,0,1
2022-07-08,0,1
2022-07-09,0,1
2022-07-10,0,1
2022-07-11,0,1
2022-07-12,0,1
2022-07-13,0,1
2022-07-14,0,1
2022-07-15,0,1
2022-07-16,0,1
2022-07-17,0,1
2022-07-18,0,1
2022-07-19,0,1
2022-07-20,0,1
2022-07-21,0,1
2022-07-22,0,1
2022-07-23,0,1
2022-07-24,0,1
2022-07-25,0,1
2022-07-26,0,1
2022-07-27,0,1
2022-07-28,0,1
2022-07-29,0,1
2022-07-30,0,1
2022-07-31,0,1
2022-08-01,0,1
2022-08-02,0,1
2022-08-03,0,1
2022-08-04,0,1
2022-08-05,0,1
2022-08-06,0,1
2022-08-07,0,1
2022-08-08,0,1
2022-08-09,0,1
2022-08-10,0,1
2022-08-11,0,1
2022-08-12,0,1
2022-08-13,0,1
2022-10-10,0,1
2022-10-11,0,1
2022-10-12,0,1
2022-10-13,0,1
2022-10-14,0,1
2022-10-15,0,1
2022-10-16,0,1
2022-10-17,0,1
2022-10-18,0,1
2022-10-19,0,1
2022-10-20,0,1
2022-10-21,0,1
2022-12-23,0,1
2022-12-24,0,1
2022-12-25,0,1
2022-12-26,0,1
2022-12-27,0,1
2022-12-28,0,1
2022-12-29,0,1
2022-12-30,0,1
2022-12-31,0,1
2023-01-01,0,1
2023-01-02,0,1
2023-01-03,0,1
2023-01-04,0,1
2023-01-05,0,1
2023-01-06,0,1
2023-01-07,0,1
2023-04-06,0,1
2023-04-07,0,1
2023-04-08,0,1
2023-04-09,0,1
2023-04-10,0,1
2023-04-11,0,1
2023-04-12,0,1
2023-04-13,0,1
2023-04-14,0,1
2023-04-15,0,1
2023-04-16,0,1
2023-04-17,0,1
2023-04-18,0,1
2023-04-19,0,1
2023-04-20,0,1
2023-04-21,0,1
2023-04-22,0,1
2023-07-17,0,1
2023-07-18,0,1
2023-07-19,0,1
2023-07-20,0,1
2023-07-21,0,1
2023-07-22,0,1
2023-07-23,0,1
2023-07-24,0,1
2023-07-25,0,1
2023-07-26,0,1
2023-07-27,0,1
2023-07-28,0,1
2023-07-29,0,1
2023-07-30,0,1
2023-07-31,0,1
2023-08-01,0,1
2023-08-02,0,1
2023-08-03,0,1
2023-08-04,0,1
2023-08-05,0,1
2023-08-06,0,1
2023-08-07,0,1
2023-08-08,0,1
2023-08-09,0,1
2023-08-10,0,1
2023-08-11,0,1
2023-08-12,0,1
2023-08-13,0,1
2023-08-14,0,1
2023-08-15,0,1
2023-08-16,0,1
2023-08-17,0,1
2023-08-18,0,1
2023-08-19,0,1
2023-08-20,0,1
2023-08-21,0,1
2023-08-22,0,1
2023-08-23,0,1
2023-08-24,0,1
2023-08-25,0,1
2023-08-26,0,1
2023-10-16,0,1
2023-10-17,0,1
2023-10-18,0,1
2023-10-19,0,1
2023-10-20,0,1
2023-10-21,0,1
2023-10-22,0,1
2023-10-23,0,1
2023-10-24,0,1
2023-10-25,0,1
2023-10-26,0,1
2023-10-27,0,1
2023-12-27,0,1
2023-12-28,0,1
2023-12-29,0,1
2023-12-30,0,1
2023-12-31,0,1
2024-01-01,0,1
2024-01-02,0,1
2024-01-03,0,1
2024-01-04,0,1
2024-01-05,0,1
2024-01-06,0,1
2024-04-02,0,1
2024-04-03,0,1
2024-04-04,0,1
2024-04-05,0,1
2024-04-06,0,1
2024-04-07,0,1
2024-04-08,0,1
2024-04-09,0,1
2024-04-10,0,1
2024-04-11,0,1
2024-04-12,0,1
2024-04-13,0,1
2024-04-14,0,1
2024-04-15,0,1
2024-04-16,0,1
2024-04-17,0,1
2024-04-18,0,1
2024-04-19,0,1
2024-07-22,0,1
2024-07-23,0,1
2024-07-24,0,1
2024-07-25,0,1
2024-07-26,0,1
2024-07-27,0,1
2024-07-28,0,1
2024-07-29,0,1
2024-07-30,0,1
2024-07-31,0,1
2024-08-01,0,1
2024-08-02,0,1
2024-08-03,0,1
2024-08-04,0,1
2024-08-05,0,1
2024-08-06,0,1
2024-08-07,0,1
2024-08-08,0,1
2024-08-09,0,1
2024-08-10,0,1
2024-08-11,0,1
2024-08-12,0,1
2024-08-13,0,1
2024-08-14,0,1
2024-08-15,0,1
2024-08-16,0,1
2024-08-17,0,1
2024-08-18,0,1
2024-08-19,0,1
2024-08-20,0,1
2024-08-21,0,1
2024-08-22,0,1
2024-08-23,0,1
2024-08-24,0,1
2024-08-25,0,1
2024-08-26,0,1
2024-08-27,0,1
2024-08-28,0,1
2024-08-29,0,1
2024-08-30,0,1
2024-08-31,0,1
2024-10-21,0,1
2024-10-22,0,1
2024-10-23,0,1
2024-10-24,0,1
2024-10-25,0,1
2024-10-26,0,1
2024-10-27,0,1
2024-10-28,0,1
2024-10-29,0,1
2024-10-30,0,1
2024-10-31,0,1
2024-11-01,0,1
2024-12-19,0,1
2024-12-20,0,1
2024-12-21,0,1
2024-12-22,0,1
2024-12-23,0,1
2024-12-24,0,1
2024-12-25,0,1
2024-12-26,0,1
2024-12-27,0,1
2024-12-28,0,1
2024-12-29,0,1
2024-12-30,0,1
2024-12-31,0,1
2025-01-01,0,1
2025-01-02,0,1
2025-01-03,0,1
2025-01-04,0,1
2025-01-05,0,1
2025-01-06,0,1
2025-01-07,0,1
2025-04-11,0,1
2025-04-12,0,1
2025-04-13,0,1
2025-04-14,0,1
2025-04-15,0,1
2025-04-16,0,1
2025-04-17,0,1
2025-04-18,0,1
2025-04-19,0,1
2025-04-20,0,1
2025-04-21,0,1
2025-04-22,0,1
2025-04-23,0,1
2025-04-24,0,1
2025-04-25,0,1
2025-07-28,0,1
2025-07-29,0,1
2025-07-30,0,1
2025-07-31,0,1
2025-08-01,0,1
2025-08-02,0,1
2025-08-03,0,1
2025-08-04,0,1
2025-08-05,0,1
2025-08-06,0,1
2025-08-07,0,1
2025-08-08,0,1
2025-08-09,0,1
2025-08-10,0,1
2025-08-11,0,1
2025-08-12,0,1
2025-08-13,0,1
2025-08-14,0,1
2025-08-15,0,1
2025-08-16,0,1
2025-08-17,0,1
2025-08-18,0,1
2025-08-19,0,1
2025-08-20,0,1
2025-08-21,0,1
2025-08-22,0,1
2025-08-23,0,1
2025-08-24,0,1
2025-08-25,0,1
2025-08-26,0,1
2025-08-27,0,1
2025-08-28,0,1
2025-08-29,0,1
2025-08-30,0,1
2025-08-31,0,1
2025-09-01,0,1
2025-09-02,0,1
2025-09-03,0,1
2025-09-04,0,1
2025-09-05,0,1
2025-09-06,0,1
2025-10-20,0,1
2025-10-21,0,1
2025-10-22,0,1
2025-10-23,0,1
2025-10-24,0,1
2025-10-25,0,1
2025-10-26,0,1
2025-10-27,0,1
2025-10-28,0,1
2025-10-29,0,1
2025-10-30,0,1
2025-12-19,0,1
2025-12-20,0,1
2025-12-21,0,1
2025-12-22,0,1
2025-12-23,0,1
2025-12-24,0,1
2025-12-25,0,1
2025-12-26,0,1
2025-12-27,0,1
2025-12-28,0,1
2025-12-29,0,1
2025-12-30,0,1
2025-12-31,0,1
2026-01-01,0,1
2026-01-02,0,1
2026-01-03,0,1
2026-01-04,0,1
2026-01-05,0,1
2026-01-06,0,1
2026-03-26,0,1
2026-03-27,0,1
2026-03-28,0,1
2026-03-29,0,1
2026-03-30,0,1
2026-03-31,0,1
2026-04-01,0,1
2026-04-02,0,1
2026-04-03,0,1
2026-04-04,0,1
2026-04-05,0,1
2026-04-06,0,1
2026-04-07,0,1
2026-04-08,0,1
2026-04-09,0,1
2026-04-10,0,1
2026-07-04,0,1
2026-07-05,0,1
2026-07-06,0,1
2026-07-07,0,1
2026-07-08,0,1
2026-07-09,0,1
2026-07-10,0,1
2026-07-11,0,1
2026-07-12,0,1
2026-07-13,0,1
2026-07-14,0,1
2026-07-15,0,1
2026-07-16,0,1
2026-07-17,0,1
2026-07-18,0,1
2026-07-19,0,1
2026-07-20,0,1
2026-07-21,0,1
2026-07-22,0,1
2026-07-23,0,1
2026-07-24,0,1
2026-07-25,0,1
2026-07-26,0,1
2026-07-27,0,1
2026-07-28,0,1
2026-07-29,0,1
2026-07-30,0,1
2026-07-31,0,1
2026-08-01,0,1
2026-08-02,0,1
2026-08-03,0,1
2026-08-04,0,1
2026-08-05,0,1
2026-08-06,0,1
2026-08-07,0,1
2026-08-08,0,1
2026-08-09,0,1
2026-08-10,0,1
2026-08-11,0,1
2026-08-12,0,1
2026-08-13,0,1
2026-08-14,0,1
2026-08-15,0,1
2026-10-12,0,1
2026-10-13,0,1
2026-10-14,0,1
2026-10-15,0,1
2026-10-16,0,1
2026-10-17,0,1
2026-10-18,0,1
2026-10-19,0,1
2026-10-20,0,1
2026-10-21,0,1
2026-10-22,0,1
2026-10-23,0,1
2026-10-24,0,1
2026-12-21,0,1
2026-12-22,0,1
2026-12-23,0,1
2026-12-24,0,1
2026-12-25,0,1
2026-12-26,0,1
2026-12-27,0,1
2026-12-28,0,1
2026-12-29,0,1
2026-12-30,0,1
2026-12-31,0,1
2027-01-01,0,1
2027-01-02,0,1
2027-01-03,0,1
2027-01-04,0,1
2027-01-05,0,1
2027-01-06,0,1
2027-03-30,0,1
2027-03-31,0,1
2027-04-01,0,1
2027-04-02,0,1
2027-04-03,0,1
2027-04-04,0,1
2027-04-05,0,1
2027-04-06,0,1
2027-04-07,0,1
2027-04-08,0,1
2027-04-09,0,1
2027-04-10,0,1
2027-07-03,0,1
2027-07-04,0,1
2027-07-05,0,1
2027-07-06,0,1
2027-07-07,0,1
2027-07-08,0,1
2027-07-09,0,1
2027-07-10,0,1
2027-07-11,0,1
2027-07-12,0,1
2027-07-13,0,1
2027-07-14,0,1
2027-07-15,0,1
2027-07-16,0,1
2027-07-17,0,1
2027-07-18,0,1
2027-07-19,0,1
2027-07-20,0,1
2027-07-21,0,1
2027-07-22,0,1
2027-07-23,0,1
2027-07-24,0,1
2027-07-25,0,1
2027-07-26,0,1
2027-07-27,0,1
2027-07-28,0,1
2027-07-29,0,1
2027-07-30,0,1
2027-07-31,0,1
2027-08-01,0,1
2027-08-02,0,1
2027-08-03,0,1
2027-08-04,0,1
2027-08-05,0,1
2027-08-06,0,1
2027-08-07,0,1
2027-08-08,0,1
2027-08-09,0,1
2027-08-10,0,1
2027-08-11,0,1
2027-08-12,0,1
2027-08-13,0,1
2027-08-14,0,1
2027-10-11,0,1
2027-10-12,0,1
2027-10-13,0,1
2027-10-14,0,1
2027-10-15,0,1
2027-10-16,0,1
2027-10-17,0,1
2027-10-18,0,1
2027-10-19,0,1
2027-10-20,0,1
2027-10-21,0,1
2027-10-22,0,1
2027-10-23,0,1
2027-12-23,0,1
2027-12-24,0,1
2027-12-25,0,1
2027-12-26,0,1
2027-12-27,0,1
2027-12-28,0,1
2027-12-29,0,1
2027-12-30,0,1
2027-12-31,0,1
2028-01-01,0,1
2028-01-02,0,1
2028-01-03,0,1
2028-01-04,0,1
2028-01-05,0,1
2028-01-06,0,1
2028-01-07,0,1
2028-01-08,0,1
2028-04-03,0,1
2028-04-04,0,1
2028-04-05,0,1
2028-04-06,0,1
2028-04-07,0,1
2028-04-08,0,1
2028-04-09,0,1
2028-04-10,0,1
2028-04-11,0,1
2028-04-12,0,1
2028-04-13,0,1
2028-04-14,0,1
2028-04-15,0,1
2028-06-24,0,1
2028-06-25,0,1
2028-06-26,0,1
2028-06-27,0,1
2028-06-28,0,1
2028-06-29,0,1
2028-06-30,0,1
2028-07-01,0,1
2028-07-02,0,1
2028-07-03,0,1
2028-07-04,0,1
2028-07-05,0,1
2028-07-06,0,1
2028-07-07,0,1
2028-07-08,0,1
2028-07-09,0,1
2028-07-10,0,1
2028-07-11,0,1
2028-07-12,0,1
2028-07-13,0,1
2028-07-14,0,1
2028-07-15,0,1
2028-07-16,0,1
2028-07-17,0,1
2028-07-18,0,1
2028-07-19,0,1
2028-07-20,0,1
2028-07-21,0,1
2028-07-22,0,1
2028-07-23,0,1
2028-07-24,0,1
2028-07-25,0,1
2028-07-26,0,1
2028-07-27,0,1
2028-07-28,0,1
2028-07-29,0,1
2028-07-30,0,1
2028-07-31,0,1
2028-08-01,0,1
2028-08-02,0,1
2028-08-03,0,1
2028-08-04,0,1
2028-10-16,0,1
2028-10-17,0,1
2028-10-18,0,1
2028-10-19,0,1
2028-10-20,0,1
2028-10-21,0,1
2028-10-22,0,1
2028-10-23,0,1
2028-10-24,0,1
2028-10-25,0,1
2028-10-26,0,1
2028-10-27,0,1
2028-10-28,0,1
2028-10-29,0,1
2028-10-30,0,1
2028-12-21,0,1
2028-12-22,0,1
2028-12-23,0,1
2028-12-24,0,1
2028-12-25,0,1
2028-12-26,0,1
2028-12-27,0,1
2028-12-28,0,1
2028-12-29,0,1
2028-12-30,0,1
2028-12-31,0,1
2029-01-01,0,1
2029-01-02,0,1
2029-01-03,0,1
2029-01-04,0,1
2029-01-05,0,1
2029-03-23,0,1
2029-03-24,0,1
2029-03-25,0,1
2029-03-26,0,1
2029-03-27,0,1
2029-03-28,0,1
2029-03-29,0,1
2029-03-30,0,1
2029-03-31,0,1
2029-04-01,0,1
2029-04-02,0,1
2029-04-03,0,1
2029-04-04,0,1
2029-04-05,0,1
2029-04-06,0,1
2029-06-23,0,1
2029-06-24,0,1
2029-06-25,0,1
2029-06-26,0,1
2029-06-27,0,1
2029-06-28,0,1
2029-06-29,0,1
2029-06-30,0,1
2029-07-01,0,1
2029-07-02,0,1
2029-07-03,0,1
2029-07-04,0,1
2029-07-05,0,1
2029-07-06,0,1
2029-07-07,0,1
2029-07-08,0,1
2029-07-09,0,1
2029-07-10,0,1
2029-07-11,0,1
2029-07-12,0,1
2029-07-13,0,1
2029-07-14,0,1
2029-07-15,0,1
2029-07-16,0,1
2029-07-17,0,1
2029-07-18,0,1
2029-07-19,0,1
2029-07-20,0,1
2029-07-21,0,1
2029-07-22,0,1
2029-07-23,0,1
2029-07-24,0,1
2029-07-25,0,1
2029-07-26,0,1
2029-07-27,0,1
2029-07-28,0,1
2029-07-29,0,1
2029-07-30,0,1
2029-07-31,0,1
2029-08-01,0,1
2029-08-02,0,1
2029-08-03,0,1
2029-10-08,0,1
2029-10-09,0,1
2029-10-10,0,1
2029-10-11,0,1
2029-10-12,0,1
2029-10-13,0,1
2029-10-14,0,1
2029-10-15,0,1
2029-10-16,0,1
2029-10-17,0,1
2029-10-18,0,1
2029-10-19,0,1
2029-12-21,0,1
2029-12-22,0,1
2029-12-23,0,1
2029-12-24,0,1
2029-12-25,0,1
2029-12-26,0,1
2029-12-27,0,1
2029-12-28,0,1
2029-12-29,0,1
2029-12-30,0,1
2029-12-31,0,1
2030-01-01,0,1
2030-01-02,0,1
2030-01-03,0,1
2030-01-04,0,1
2030-01-05,0,1
2030-01-06,0,1
2030-01-07,0,1
2030-01-08,0,1
